"STATION","NAME","DATE","TMAX","TMIN"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-04","66","44"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-05","65","54"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-06","63","54"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-07","64","54"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-08","60","53"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-09","55","53"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-10","58","53"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-11","57","53"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-12","58","53"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-13","61","53"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-14","62","51"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-15","58","51"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-16","57","53"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-17","64","51"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-18","60","46"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-19","60","52"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-20","58","50"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-21","60","48"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-22","63","48"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-23","63","47"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-24","57","51"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-25","61","47"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-26","62","52"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-27","65","51"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-28","64","53"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-29","65","55"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-30","60","54"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-31","59","51"
"USW00025379","SITKA 1 NE, AK US","2023-08-01","58","55"
"USW00025379","SITKA 1 NE, AK US","2023-08-02","64","55"
"USW00025379","SITKA 1 NE, AK US","2023-08-03","68","52"
"USW00025379","SITKA 1 NE, AK US","2023-08-04","72","49"
"USW00025379","SITKA 1 NE, AK US","2023-08-05","72","54"
"USW00025379","SITKA 1 NE, AK US","2023-08-06","67","58"
"USW00025379","SITKA 1 NE, AK US","2023-08-07","62","56"
"USW00025379","SITKA 1 NE, AK US","2023-08-08","61","55"
"USW00025379","SITKA 1 NE, AK US","2023-08-09","58","55"
"USW00025379","SITKA 1 NE, AK US","2023-08-10","60","55"
"USW00025379","SITKA 1 NE, AK US","2023-08-11","59","54"
"USW00025379","SITKA 1 NE, AK US","2023-08-12","60","55"
"USW00025379","SITKA 1 NE, AK US","2023-08-13","60","53"
"USW00025379","SITKA 1 NE, AK US","2023-08-14","58","48"
"USW00025379","SITKA 1 NE, AK US","2023-08-15","57","54"
"USW00025379","SITKA 1 NE, AK US","2023-08-16","58","52"
"USW00025379","SITKA 1 NE, AK US","2023-08-17","58","51"
"USW00025379","SITKA 1 NE, AK US","2023-08-18","60","51"
"USW00025379","SITKA 1 NE, AK US","2023-08-19","60","51"
"USW00025379","SITKA 1 NE, AK US","2023-08-20","65","48"
"USW00025379","SITKA 1 NE, AK US","2023-08-21","68","45"
"USW00025379","SITKA 1 NE, AK US","2023-08-22","64","48"
"USW00025379","SITKA 1 NE, AK US","2023-08-23","60","54"
"USW00025379","SITKA 1 NE, AK US","2023-08-24","61","54"
"USW00025379","SITKA 1 NE, AK US","2023-08-25","67","48"
"USW00025379","SITKA 1 NE, AK US","2023-08-26","66","53"
"USW00025379","SITKA 1 NE, AK US","2023-08-27","72","52"
"USW00025379","SITKA 1 NE, AK US","2023-08-28","71","51"
"USW00025379","SITKA 1 NE, AK US","2023-08-29","65","53"
"USW00025379","SITKA 1 NE, AK US","2023-08-30","60","55"
"USW00025379","SITKA 1 NE, AK US","2023-08-31","59","53"
"USW00025333","SITKA AIRPORT, AK US","2023-08-01","60","58"
"USW00025333","SITKA AIRPORT, AK US","2023-08-02","65","57"
"USW00025333","SITKA AIRPORT, AK US","2023-08-03","67","58"
"USW00025333","SITKA AIRPORT, AK US","2023-08-04","72","56"
"USW00025333","SITKA AIRPORT, AK US","2023-08-05","71","60"
"USW00025333","SITKA AIRPORT, AK US","2023-08-06","68","60"
"USW00025333","SITKA AIRPORT, AK US","2023-08-07","68","59"
"USW00025333","SITKA AIRPORT, AK US","2023-08-08","62","58"
"USW00025333","SITKA AIRPORT, AK US","2023-08-09","61","58"
"USW00025333","SITKA AIRPORT, AK US","2023-08-10","61","58"
"USW00025333","SITKA AIRPORT, AK US","2023-08-11","61","57"
"USW00025333","SITKA AIRPORT, AK US","2023-08-12","63","58"
"USW00025333","SITKA AIRPORT, AK US","2023-08-13","63","57"
"USW00025333","SITKA AIRPORT, AK US","2023-08-14","63","53"
"USW00025333","SITKA AIRPORT, AK US","2023-08-15","60","56"
"USW00025333","SITKA AIRPORT, AK US","2023-08-16","61","56"
"USW00025333","SITKA AIRPORT, AK US","2023-08-17","59","54"
"USW00025333","SITKA AIRPORT, AK US","2023-08-18","62","54"
"USW00025333","SITKA AIRPORT, AK US","2023-08-19","61","55"
"USW00025333","SITKA AIRPORT, AK US","2023-08-20","68","53"
"USW00025333","SITKA AIRPORT, AK US","2023-08-21","68","51"
"USW00025333","SITKA AIRPORT, AK US","2023-08-22","65","58"
"USW00025333","SITKA AIRPORT, AK US","2023-08-23","62","57"
"USW00025333","SITKA AIRPORT, AK US","2023-08-24","62","58"
"USW00025333","SITKA AIRPORT, AK US","2023-08-25","68","54"
"USW00025333","SITKA AIRPORT, AK US","2023-08-26","69","58"
"USW00025333","SITKA AIRPORT, AK US","2023-08-27","73","57"
"USW00025333","SITKA AIRPORT, AK US","2023-08-28","70","56"
"USW00025333","SITKA AIRPORT, AK US","2023-08-29","64","59"
"USW00025333","SITKA AIRPORT, AK US","2023-08-30","61","58"
"USW00025333","SITKA AIRPORT, AK US","2023-08-31","61","56"
